No,SSA,VMI,VME,T,P,G
583,594,0.1498,0.0935,25,0.25,0.44
584,594,0.1498,0.0935,25,0.214,0.39
585,594,0.1498,0.0935,25,0.178,0.335
586,403,0.091,0.2367,25,0.98,0.9
587,403,0.091,0.2367,25,0.945,0.88
588,403,0.091,0.2367,25,0.88,0.85
589,403,0.091,0.2367,25,0.81,0.81
590,403,0.091,0.2367,25,0.7,0.75
591,403,0.091,0.2367,25,0.635,0.706
592,403,0.091,0.2367,25,0.565,0.66
593,403,0.091,0.2367,25,0.5,0.61
594,403,0.091,0.2367,25,0.39,0.524
595,403,0.091,0.2367,25,0.32,0.46
596,403,0.091,0.2367,25,0.28,0.42
597,403,0.091,0.2367,25,0.25,0.39
598,403,0.091,0.2367,25,0.21,0.34
599,403,0.091,0.2367,25,0.18,0.3
600,403,0.091,0.2367,25,0.14,0.25
601,776,0.1894,0.3765,15,0.98,1.26
602,776,0.1894,0.3765,15,0.94,1.23
603,776,0.1894,0.3765,15,0.88,1.19
604,776,0.1894,0.3765,15,0.81,1.135
605,776,0.1894,0.3765,15,0.7,1.05
606,776,0.1894,0.3765,15,0.63,1
607,776,0.1894,0.3765,15,0.56,0.93
608,776,0.1894,0.3765,15,0.49,0.86
